mention_id,doc_id,entity_text,entity_norm,entity_type,source,specialty,manual_canonical
69,3443,nausea,nausea,Disease,scispacy,gastroenterology,nausea
70,2719,non-epileptic events,non-epileptic events,Disease,scispacy,neurology,non-epileptic events
71,1483,pericardial effusion,pericardial effusion,Disease,scispacy,radiology,pericardial effusion
72,4081,itching,itching,Disease,scispacy,consult - history and phy.,itching
73,3315,chest pain,chest pain,Disease,scispacy,general medicine,chest pain
74,3096,fever,fever,Disease,scispacy,hematology - oncology,fever
75,4114,antidepressant,antidepressant,Drug,scispacy,consult - history and phy.,antidepressant
76,2959,cimetidine,cimetidine,Drug,scispacy,nephrology,cimetidine
77,4302,globulin,globulin,Drug,scispacy,consult - history and phy.,globulin
78,3066,lisinopril,lisinopril,Drug,scispacy,hospice - palliative care,lisinopril
79,872,oxygen,oxygen,Drug,scispacy,surgery,oxygen
80,2806,amphotericin,amphotericin,Drug,scispacy,neurology,amphotericin
81,2926,aldosterone,aldosterone,Drug,scispacy,neurology,aldosterone
82,3123,coumadin,coumadin,Drug,scispacy,hematology - oncology,warfarin
83,4376,ana,ana,Drug,scispacy,consult - history and phy.,SKIP
84,1578,pyrimethamine,pyrimethamine,Drug,scispacy,radiology,pyrimethamine
85,2376,xylocaine,xylocaine,Drug,scispacy,ophthalmology,xylocaine
86,4853,flecainide,flecainide,Drug,scispacy,cardiovascular / pulmonary,flecainide
87,4201,folate,folate,Drug,scispacy,consult - history and phy.,folate
88,2673,bacitracin,bacitracin,Drug,scispacy,neurosurgery,bacitracin
89,3972,percocet,percocet,Drug,scispacy,dentistry,oxycodone/acetaminophen
90,204,propofol,propofol,Drug,scispacy,surgery,propofol
91,4303,tylenol,tylenol,Drug,scispacy,consult - history and phy.,acetaminophen
92,2295,ropivacaine,ropivacaine,Drug,scispacy,orthopedic,ropivacaine
93,4397,cocaine,cocaine,Drug,scispacy,consult - history and phy.,cocaine
94,1886,tylenol,tylenol,Drug,scispacy,pediatrics - neonatal,acetaminophen
95,1580,dilantin,dilantin,Drug,scispacy,radiology,phenytoin
96,3858,cpm,cpm,Drug,scispacy,discharge summary,SKIP
97,612,bronze lesions,bronze lesions,Drug,scispacy,surgery,bronze lesions
98,3693,p.o,po,Drug,scispacy,ent - otolaryngology,SKIP
99,1564,labetalol,labetalol,Drug,scispacy,radiology,labetalol
100,4069,micardis,micardis,Drug,scispacy,consult - history and phy.,telmisartan
101,4304,lovenox,lovenox,Drug,scispacy,consult - history and phy.,enoxaparin
102,4410,sugar-free jell-o,sugar-free jell-o,Drug,scispacy,consult - history and phy.,SKIP
103,2525,augmentin,augmentin,Drug,scispacy,obstetrics / gynecology,amoxicillin/clavulanate
104,3234,smoke,smoke,Drug,scispacy,general medicine,SKIP
105,4679,creatinine,creatinine,Drug,scispacy,cardiovascular / pulmonary,creatinine
106,617,toradol,toradol,Drug,scispacy,surgery,toradol
107,1409,bumex,bumex,Drug,scispacy,soap / chart / progress notes,bumetanide
108,1817,bilirubin,bilirubin,Drug,scispacy,podiatry,bilirubin
109,1459,gu,gu,Drug,scispacy,rheumatology,SKIP
110,4400,chlordiazepoxide,chlordiazepoxide,Drug,scispacy,consult - history and phy.,chlordiazepoxide
111,4646,verapamil,verapamil,Drug,scispacy,cardiovascular / pulmonary,verapamil
112,3484,imuran,imuran,Drug,scispacy,gastroenterology,azathioprine
113,4321,atrovent,atrovent,Drug,scispacy,consult - history and phy.,ipratropium
114,1521,iodine,iodine,Drug,scispacy,radiology,iodine
115,2094,ble,ble,Drug,scispacy,orthopedic,SKIP
116,1967,preservative-free lidocaine,preservative-free lidocaine,Drug,scispacy,pain management,preservative-free lidocaine
117,1309,aspirin,aspirin,Drug,scispacy,soap / chart / progress notes,aspirin
118,1534,40mg/kg/day,40mgkgday,Drug,scispacy,radiology,SKIP
119,1368,vitamin e,vitamin e,Drug,scispacy,soap / chart / progress notes,vitamin e
120,1314,nexium,nexium,Drug,scispacy,soap / chart / progress notes,esomeprazole
121,4054,pulmicort,pulmicort,Drug,scispacy,consult - history and phy.,budesonide
122,273,calcium,calcium,Drug,scispacy,surgery,calcium
123,3484,imuran,imuran,Drug,scispacy,gastroenterology,azathioprine
124,3793,"time.,neurologic",timeneurologic,Drug,scispacy,emergency room reports,SKIP
125,3168,o2 saturation,o2 saturation,Drug,scispacy,general medicine,SKIP
126,3618,levaquin,levaquin,Drug,scispacy,gastroenterology,levofloxacin
127,4336,tylenol,tylenol,Drug,scispacy,consult - history and phy.,acetaminophen
128,4054,colace,colace,Drug,scispacy,consult - history and phy.,docusate
129,4233,digoxin,digoxin,Drug,scispacy,consult - history and phy.,digoxin
130,66,novolin,novolin,Drug,scispacy,urology,insulin isophane
131,4197,amitriptyline,amitriptyline,Drug,scispacy,consult - history and phy.,amitriptyline
132,4201,q.d,qd,Drug,scispacy,consult - history and phy.,SKIP
133,1623,zonegran,zonegran,Drug,scispacy,radiology,zonisamide
134,1752,cannabis,cannabis,Drug,scispacy,psychiatry / psychology,cannabis
135,2326,p.o,po,Drug,scispacy,orthopedic,SKIP
136,1897,oxygen,oxygen,Drug,scispacy,pediatrics - neonatal,oxygen
137,4919,nitroglycerin,nitroglycerin,Drug,scispacy,cardiovascular / pulmonary,nitroglycerin
138,2828,alprazolam,alprazolam,Drug,scispacy,neurology,alprazolam
139,4376,b12,b12,Drug,scispacy,consult - history and phy.,b12
140,4640,cardizem,cardizem,Drug,scispacy,cardiovascular / pulmonary,diltiazem
141,3820,alcohol,alcohol,Drug,scispacy,emergency room reports,alcohol
142,4844,furosemide,furosemide,Drug,scispacy,cardiovascular / pulmonary,furosemide
143,4542,"parenting.,plan",parentingplan,Drug,scispacy,consult - history and phy.,SKIP
144,1951,steroid,steroid,Drug,scispacy,pain management,steroid
145,2604,tampons,tampons,Drug,scispacy,obstetrics / gynecology,SKIP
146,3522,fentanyl,fentanyl,Drug,scispacy,gastroenterology,fentanyl
147,3350,silver,silver,Drug,scispacy,general medicine,silver
148,3192,maxzide,maxzide,Drug,scispacy,general medicine,triamterene/hydrochlorothiazide
149,2298,tricalcium phosphate,tricalcium phosphate,Drug,scispacy,orthopedic,tricalcium phosphate
